product_id,event_index,stage_id,actor_address,actor_name,actor_role,activity_data_x1000,activity_unit,emission_factor_x1000,ef_source,co2e_grams,methodology,evidence_hash,prev_event_hash,timestamp_unix,schema_version,event_hash
1,0,1,0x6a021adee7D1af852E028c692bD3f81f8D93b572,AluCo Primary Smelting,smelter,1200,kg aluminium,15000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent aluminium primary ingot + IAI & IEA grid factor for smelter region,18000,GHG Protocol Scope 3 Cat 1 (purchased goods),0xa5de1f836477df97c1df3f6afa5a49a72750703ef92ef58aa70c4499c2cce040,0x0000000000000000000000000000000000000000000000000000000000000000,1789059386,1.0.0,0x17bbe7a8e240c5f1f9bbca241923d888f962b79ee29fcd3f2cac2a797fc8eb1d
1,1,2,0x5F0b6f6CCF48A79CCd957362aFaC3AC212F5f558,Shenzhen PCB Works,pcbSupplier,400,kg populated PCB,150000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent printed wiring board + PCF literature,60000,GHG Protocol Scope 3 Cat 1 (purchased goods),0x854b5dd124eb969abc74d04540e96c1a5f66d87ea5011d637151d81627e19955,0x17bbe7a8e240c5f1f9bbca241923d888f962b79ee29fcd3f2cac2a797fc8eb1d,1789059390,1.0.0,0x79172f0ba32a8e131108f68240b68ae2f72c2d4b96d732c0c27de0c6b9ef987b
1,2,3,0x262bF1424a18d346AC85cD127ff64DF88824cf16,CellTech Batteries,batteryMaker,60,kWh cell capacity,90000000,PLACEHOLDER / SOURCE NEEDED: GREET / battery LCA (gCO2e per kWh capacity),5400,GHG Protocol Scope 3 Cat 1 (purchased goods),0x0eee0d0e86d12a7f7cdf4208aa1e3761b0d12384fe7eec690824043d2d8747e8,0x79172f0ba32a8e131108f68240b68ae2f72c2d4b96d732c0c27de0c6b9ef987b,1789059394,1.0.0,0x8076975bc2dab65cbfe72cb27d955822a490c3d6049395a2c5e892ff60310676
1,3,4,0x71d44Fde74A438C7560C49D30917A49fDB853a2D,PanelView Displays,screenSupplier,70,m2 panel area,600000000,PLACEHOLDER / SOURCE NEEDED: ecoinvent LCD module + PCF literature (process gases),42000,GHG Protocol Scope 3 Cat 1 (purchased goods),0xe05ba8197b6c2c5e5d061176d11c50eaf57ef2c0b209959709eb4cbca66f7763,0x8076975bc2dab65cbfe72cb27d955822a490c3d6049395a2c5e892ff60310676,1789059398,1.0.0,0x2878fa65b86363eac7d689a1734113267b4668f6d1d6cbd8ca625fa0afad67b0
1,4,5,0x90185602439bEBe05FaDAE3218178b75a900b4DA,LaptopCorp Assembly,oem,25000,kWh factory electricity,550000,PLACEHOLDER / SOURCE NEEDED: site energy audit + IEA grid factor for assembly country,13750,"GHG Protocol Scope 1+2 at supplier, Scope 3 Cat 1 to buyer",0xc12551ac3abec84480d5604171cf186b2de7be39d911b25d11f33fe8e6e3370d,0x2878fa65b86363eac7d689a1734113267b4668f6d1d6cbd8ca625fa0afad67b0,1789059402,1.0.0,0xc93f1f8bec2ef5cd24fe6be8f09bf5db5442b3b7b9f8244f33008296c977bdca
1,5,6,0x90185602439bEBe05FaDAE3218178b75a900b4DA,LaptopCorp Assembly,oem,800,kg cardboard and plastics,900000,PLACEHOLDER / SOURCE NEEDED: DEFRA/BEIS UK GHG conversion factors (material production),720,GHG Protocol Scope 3 Cat 1 (purchased goods),0xd683cc9a35472940b2f8dc880091934eb67f0fad30f326c2cee38ebebd84a879,0xc93f1f8bec2ef5cd24fe6be8f09bf5db5442b3b7b9f8244f33008296c977bdca,1789059406,1.0.0,0x7fb3222cfb140814dbadee1ad1a728314cb95320d015e0aeca8acc680de260cb
1,6,7,0xd43896E491d84156F503AA9C53cA17FDABAC61ab,BlueWater Freight,logistics,50000,tonne-km (sea freight),15000,"PLACEHOLDER / SOURCE NEEDED: DEFRA/BEIS freight factors (container ship, gCO2e per tonne-km)",750,GHG Protocol Scope 3 Cat 4 (upstream transport),0x1c4db9318e458b6565aa4b78f8df28a0b95f73f0b5a89615b98945f1980b6f81,0x7fb3222cfb140814dbadee1ad1a728314cb95320d015e0aeca8acc680de260cb,1789059410,1.0.0,0xf6ac4cf20f7620627f652f3f5e9e3bba331ad4753e3fd6fd850d33dc5bee699c
1,7,8,0x2508257944EAdBe6d5278019F6ABDa1578eBF4D4,Corporate IT (use phase),usePhaseAgent,150000,kWh lifetime electricity,400000,"PLACEHOLDER / SOURCE NEEDED: IEA or national grid factor for use country, averaged over service life",60000,GHG Protocol Scope 3 Cat 11 (use of sold products),0xd026559d8954ebf8d0f733c6945d42bc86722e3d77d7e2318e0fc1d9f0c153e8,0xf6ac4cf20f7620627f652f3f5e9e3bba331ad4753e3fd6fd850d33dc5bee699c,1786467414,1.0.0,0x57540884ba7715ca32774081e77a2a13d7dd72bfee13a9c5582bf47b3497d169
1,8,9,0x3600759b13564C149BA14ccd6B8D944a9Ee6D799,FixIt Refurbishment,repairer,5000,kWh (repair energy + spare-part allocation),600000,PLACEHOLDER / SOURCE NEEDED: repair-shop energy + spare part embodied carbon (ecoinvent),3000,GHG Protocol Scope 3 Cat 11 extension,0x52c6518fc17a11aa0d35acaf419a9dbe4576323cc2a4dbb98cec1ccd906aaa93,0x57540884ba7715ca32774081e77a2a13d7dd72bfee13a9c5582bf47b3497d169,1789059418,1.0.0,0x886fbffa26d75f08a3e88c21635bf2c0b9d141cb91bee7b45e2bfeb1259ee47c
1,9,10,0x529FeE1F1fC608FAA5d4DE582740441Fc800DF7D,GreenLoop Recycling,recycler,2000,kg mass processed,-1500000,PLACEHOLDER / SOURCE NEEDED: recycling LCA; NEGATIVE factor = avoided-burden credit for recovered materials,-3000,GHG Protocol Scope 3 Cat 12 (end-of-life),0xeeb8ebffa550080e1f4ac733873db4b9dfa05a687eeebcf5ac1d79a87eca6d84,0x886fbffa26d75f08a3e88c21635bf2c0b9d141cb91bee7b45e2bfeb1259ee47c,1789059422,1.0.0,0x0432398796d55e9ccd3146a17a295170a50f1f83c8bf4765a3dd8b0b738bc972
